Fecha,Hito,Tipo,Premisa,URL
2015-04-25,,Normal,,
2015-04-26,,Normal,,
2015-04-27,,Normal,,
2015-04-28,,Normal,,
2015-04-29,,Normal,,
2015-04-30,,Normal,,
2015-05-01,,Normal,,
2015-05-02,,Normal,,
2015-05-03,,Normal,,
2015-05-04,,Normal,,
2015-05-05,,Normal,,
2015-05-06,,Normal,,
2015-05-07,,Normal,,
2015-05-08,,Normal,,
2015-05-09,,Normal,,
2015-05-10,,Normal,,
2015-05-11,,Normal,,
2015-05-12,,Normal,,
2015-05-13,,Normal,,
2015-05-14,,Normal,,
2015-05-15,,Normal,,
2015-05-16,,Normal,,
2015-05-17,,Normal,,
2015-05-18,,Normal,,
2015-05-19,,Normal,,
2015-05-20,,Normal,,
2015-05-21,,Normal,,
2015-05-22,,Normal,,
2015-05-23,,Normal,,
2015-05-24,,Normal,,
2015-05-25,,Normal,,
2015-05-26,,Normal,,
2015-05-27,,Normal,,
2015-05-28,,Normal,,
2015-05-29,,Normal,,
2015-05-30,,Normal,,
2015-05-31,,Normal,,
2015-06-01,,Normal,,
2015-06-02,,Normal,,
2015-06-03,,Normal,,
2015-06-04,,Normal,,
2015-06-05,,Normal,,
2015-06-06,,Normal,,
2015-06-07,,Normal,,
2015-06-08,,Normal,,
2015-06-09,,Normal,,
2015-06-10,,Normal,,
2015-06-11,,Normal,,
2015-06-12,,Normal,,
2015-06-13,,Normal,,
2015-06-14,,Normal,,
2015-06-15,,Normal,,
2015-06-16,,Normal,,
2015-06-17,,Normal,,
2015-06-18,,Normal,,
2015-06-19,,Normal,,
2015-06-20,,Normal,,
2015-06-21,,Normal,,
2015-06-22,,Normal,,
2015-06-23,,Normal,,
2015-06-24,,Normal,,
2015-06-25,,Normal,,
2015-06-26,,Normal,,
2015-06-27,,Normal,,
2015-06-28,,Normal,,
2015-06-29,,Normal,,
2015-06-30,,Normal,,
2015-07-01,,Normal,,
2015-07-02,,Normal,,
2015-07-03,,Normal,,
2015-07-04,,Normal,,
2015-07-05,,Normal,,
2015-07-06,,Normal,,
2015-07-07,,Normal,,
2015-07-08,,Normal,,
2015-07-09,,Normal,,
2015-07-10,,Normal,,
2015-07-11,,Normal,,
2015-07-12,,Normal,,
2015-07-13,,Normal,,
2015-07-14,,Normal,,
2015-07-15,,Normal,,
2015-07-16,,Normal,,
2015-07-17,,Normal,,
2015-07-18,,Normal,,
2015-07-19,,Normal,,
2015-07-20,,Normal,,
2015-07-21,,Normal,,
2015-07-22,,Normal,,
2015-07-23,,Normal,,
2015-07-24,,Normal,,
2015-07-25,,Normal,,
2015-07-26,,Normal,,
2015-07-27,,Normal,,
2015-07-28,,Normal,,
2015-07-29,,Normal,,
2015-07-30,,Normal,,
2015-07-31,,Normal,,
2015-08-01,,Normal,,
2015-08-02,,Normal,,
2015-08-03,,Normal,,
2015-08-04,,Normal,,
2015-08-05,,Normal,,
2015-08-06,,Normal,,
2015-08-07,,Normal,,
2015-08-08,,Normal,,
2015-08-09,,Normal,,
2015-08-10,,Normal,,
2015-08-11,,Normal,,
2015-08-12,,Normal,,
2015-08-13,,Normal,,
2015-08-14,,Normal,,
2015-08-15,,Normal,,
2015-08-16,,Normal,,
2015-08-17,,Normal,,
2015-08-18,,Normal,,
2015-08-19,,Normal,,
2015-08-20,,Normal,,
2015-08-21,,Normal,,
2015-08-22,,Normal,,
2015-08-23,,Normal,,
2015-08-24,,Normal,,
2015-08-25,,Normal,,
2015-08-26,,Normal,,
2015-08-27,,Normal,,
2015-08-28,,Normal,,
2015-08-29,,Normal,,
2015-08-30,,Normal,,
2015-08-31,Salida de Credit Suisse,Pérdida de Empleo,Se paciente. Los puntos al final se conectan.,
2015-09-01,,Desempleo,,
2015-09-02,,Desempleo,,
2015-09-03,,Desempleo,,
2015-09-04,,Desempleo,,
2015-09-05,,Desempleo,,
2015-09-06,,Desempleo,,
2015-09-07,,Desempleo,,
2015-09-08,,Desempleo,,
2015-09-09,,Desempleo,,
2015-09-10,,Desempleo,,
2015-09-11,,Desempleo,,
2015-09-12,,Desempleo,,
2015-09-13,,Desempleo,,
2015-09-14,,Desempleo,,
2015-09-15,,Desempleo,,
2015-09-16,,Desempleo,,
2015-09-17,,Desempleo,,
2015-09-18,,Desempleo,,
2015-09-19,,Desempleo,,
2015-09-20,,Desempleo,,
2015-09-21,,Desempleo,,
2015-09-22,,Desempleo,,
2015-09-23,,Desempleo,,
2015-09-24,,Desempleo,,
2015-09-25,,Desempleo,,
2015-09-26,,Desempleo,,
2015-09-27,,Desempleo,,
2015-09-28,,Desempleo,,
2015-09-29,,Desempleo,,
2015-09-30,,Desempleo,,
2015-10-01,,Desempleo,,
2015-10-02,,Desempleo,,
2015-10-03,,Desempleo,,
2015-10-04,,Desempleo,,
2015-10-05,,Desempleo,,
2015-10-06,,Desempleo,,
2015-10-07,,Desempleo,,
2015-10-08,,Desempleo,,
2015-10-09,,Desempleo,,
2015-10-10,,Desempleo,,
2015-10-11,,Desempleo,,
2015-10-12,,Desempleo,,
2015-10-13,,Desempleo,,
2015-10-14,,Desempleo,,
2015-10-15,,Desempleo,,
2015-10-16,,Desempleo,,
2015-10-17,,Desempleo,,
2015-10-18,,Desempleo,,
2015-10-19,,Desempleo,,
2015-10-20,,Desempleo,,
2015-10-21,,Desempleo,,
2015-10-22,,Desempleo,,
2015-10-23,,Desempleo,,
2015-10-24,,Desempleo,,
2015-10-25,,Desempleo,,
2015-10-26,,Desempleo,,
2015-10-27,,Desempleo,,
2015-10-28,,Desempleo,,
2015-10-29,,Desempleo,,
2015-10-30,,Desempleo,,
2015-10-31,,Desempleo,,
2015-11-01,,Desempleo,,
2015-11-02,,Desempleo,,
2015-11-03,,Desempleo,,
2015-11-04,,Desempleo,,
2015-11-05,,Desempleo,,
2015-11-06,,Desempleo,,
2015-11-07,,Desempleo,,
2015-11-08,,Desempleo,,
2015-11-09,,Desempleo,,
2015-11-10,,Desempleo,,
2015-11-11,,Desempleo,,
2015-11-12,,Desempleo,,
2015-11-13,,Desempleo,,
2015-11-14,,Desempleo,,
2015-11-15,,Desempleo,,
2015-11-16,,Desempleo,,
2015-11-17,,Desempleo,,
2015-11-18,,Desempleo,,
2015-11-19,,Desempleo,,
2015-11-20,,Desempleo,,
2015-11-21,,Desempleo,,
2015-11-22,,Desempleo,,
2015-11-23,,Desempleo,,
2015-11-24,,Desempleo,,
2015-11-25,,Desempleo,,
2015-11-26,,Desempleo,,
2015-11-27,,Desempleo,,
2015-11-28,,Desempleo,,
2015-11-29,,Desempleo,,
2015-11-30,,Desempleo,,
2015-12-01,,Desempleo,,
2015-12-02,,Desempleo,,
2015-12-03,,Desempleo,,
2015-12-04,,Desempleo,,
2015-12-05,,Desempleo,,
2015-12-06,,Desempleo,,
2015-12-07,,Desempleo,,
2015-12-08,,Desempleo,,
2015-12-09,,Desempleo,,
2015-12-10,,Desempleo,,
2015-12-11,,Desempleo,,
2015-12-12,,Desempleo,,
2015-12-13,,Desempleo,,
2015-12-14,,Desempleo,,
2015-12-15,,Desempleo,,
2015-12-16,,Desempleo,,
2015-12-17,,Desempleo,,
2015-12-18,,Desempleo,,
2015-12-19,,Desempleo,,
2015-12-20,,Desempleo,,
2015-12-21,,Desempleo,,
2015-12-22,,Desempleo,,
2015-12-23,,Desempleo,,
2015-12-24,,Desempleo,,
2015-12-25,,Desempleo,,
2015-12-26,,Desempleo,,
2015-12-27,,Desempleo,,
2015-12-28,,Desempleo,,
2015-12-29,,Desempleo,,
2015-12-30,,Desempleo,,
2015-12-31,,Desempleo,,
2016-01-01,,Desempleo,,
2016-01-02,,Desempleo,,
2016-01-03,,Desempleo,,
2016-01-04,,Desempleo,,
2016-01-05,,Desempleo,,
2016-01-06,,Desempleo,,
2016-01-07,,Desempleo,,
2016-01-08,Ingreso a OpenBank,Día Clave,,
2016-01-09,,Normal,,
2016-01-10,,Normal,,
2016-01-11,,Normal,,
2016-01-12,,Normal,,
2016-01-13,,Normal,,
2016-01-14,,Normal,,
2016-01-15,,Normal,,
2016-01-16,,Normal,,
2016-01-17,,Normal,,
2016-01-18,,Normal,,
2016-01-19,,Normal,,
2016-01-20,,Normal,,
2016-01-21,,Normal,,
2016-01-22,,Normal,,
2016-01-23,,Normal,,
2016-01-24,,Normal,,
2016-01-25,,Normal,,
2016-01-26,,Normal,,
2016-01-27,,Normal,,
2016-01-28,,Normal,,
2016-01-29,,Normal,,
2016-01-30,,Normal,,
2016-01-31,,Normal,,
2016-02-01,,Normal,,
2016-02-02,,Normal,,
2016-02-03,,Normal,,
2016-02-04,,Normal,,
2016-02-05,,Normal,,
2016-02-06,,Normal,,
2016-02-07,,Normal,,
2016-02-08,,Normal,,
2016-02-09,,Normal,,
2016-02-10,,Normal,,
2016-02-11,,Normal,,
2016-02-12,,Normal,,
2016-02-13,,Normal,,
2016-02-14,,Normal,,
2016-02-15,,Normal,,
2016-02-16,,Normal,,
2016-02-17,,Normal,,
2016-02-18,,Normal,,
2016-02-19,,Normal,,
2016-02-20,,Normal,,
2016-02-21,,Normal,,
2016-02-22,,Normal,,
2016-02-23,,Normal,,
2016-02-24,,Normal,,
2016-02-25,,Normal,,
2016-02-26,,Normal,,
2016-02-27,,Normal,,
2016-02-28,,Normal,,
2016-02-29,,Normal,,
2016-03-01,,Normal,,
2016-03-02,,Normal,,
2016-03-03,,Normal,,
2016-03-04,,Normal,,
2016-03-05,,Normal,,
2016-03-06,,Normal,,
2016-03-07,,Normal,,
2016-03-08,,Normal,,
2016-03-09,,Normal,,
2016-03-10,,Normal,,
2016-03-11,,Normal,,
2016-03-12,,Normal,,
2016-03-13,,Normal,,
2016-03-14,,Normal,,
2016-03-15,,Normal,,
